0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:42:14 +0530] "GET /LoginSignUp/login.jsp HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:42:14 +0530] "GET /LoginSignUp/images/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:42:14 +0530] "GET /LoginSignUp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:42:14 +0530] "GET /LoginSignUp/alert/dist/sweetalert.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:43:50 +0530] "GET /LoginSignUp/login.jsp HTTP/1.1" 200 2929
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:43:50 +0530] "GET /LoginSignUp/images/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:43:50 +0530] "GET /LoginSignUp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:43:50 +0530] "GET /LoginSignUp/alert/dist/sweetalert.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:00 +0530] "POST /LoginSignUp/login HTTP/1.1" 200 2931
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:00 +0530] "GET /LoginSignUp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:00 +0530] "GET /LoginSignUp/alert/dist/sweetalert.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:00 +0530] "GET /LoginSignUp/fonts/poppins/poppins-v5-latin-600.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:06 +0530] "POST /LoginSignUp/login HTTP/1.1" 200 24050
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:06 +0530] "GET /LoginSignUp/css/index-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:06 +0530] "GET /LoginSignUp/assets/img/avataaars.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:06 +0530] "GET /LoginSignUp/assets/img/portfolio/cabin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:06 +0530] "GET /LoginSignUp/assets/img/portfolio/cake.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:06 +0530] "GET /LoginSignUp/assets/img/portfolio/circus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:06 +0530] "GET /LoginSignUp/assets/img/portfolio/game.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:06 +0530] "GET /LoginSignUp/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:06 +0530] "GET /LoginSignUp/assets/img/portfolio/safe.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:06 +0530] "GET /LoginSignUp/assets/img/portfolio/submarine.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:07 +0530] "GET /LoginSignUp/assets/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:19 +0530] "GET /LoginSignUp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:19 +0530] "GET /LoginSignUp/login.jsp HTTP/1.1" 200 2929
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:19 +0530] "GET /LoginSignUp/images/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:19 +0530] "GET /LoginSignUp/alert/dist/sweetalert.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:19 +0530] "GET /LoginSignUp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:26 +0530] "POST /LoginSignUp/login HTTP/1.1" 200 24050
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:32 +0530] "GET /LoginSignUp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:32 +0530] "GET /LoginSignUp/login.jsp HTTP/1.1" 200 2929
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:32 +0530] "GET /LoginSignUp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:32 +0530] "GET /LoginSignUp/alert/dist/sweetalert.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:44:37 +0530] "POST /LoginSignUp/login HTTP/1.1" 200 24050
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:47:11 +0530] "POST /LoginSignUp/login HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:47:27 +0530] "POST /LoginSignUp/login HTTP/1.1" 200 2669
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:48:02 +0530] "POST /LoginSignUp/login HTTP/1.1" 200 2664
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:50:05 +0530] "POST /LoginSignUp/login HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:50:45 +0530] "POST /LoginSignUp/login HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:50:47 +0530] "GET /LoginSignUp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:50:47 +0530] "GET /LoginSignUp/login.jsp HTTP/1.1" 200 2929
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:50:47 +0530] "GET /LoginSignUp/images/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:50:47 +0530] "GET /LoginSignUp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:50:47 +0530] "GET /LoginSignUp/alert/dist/sweetalert.css HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:50:52 +0530] "POST /LoginSignUp/login HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:50:54 +0530] "GET /LoginSignUp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:50:54 +0530] "GET /LoginSignUp/login.jsp HTTP/1.1" 200 2929
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:50:54 +0530] "GET /LoginSignUp/vendor/jquery/jquery.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [28/Dec/2024:20:50:54 +0530] "GET /LoginSignUp/alert/dist/sweetalert.css HTTP/1.1" 404 801
